year,passengers,cargotonnage,aircraftoperations
2001,80162407,865991,915454
2002,75858500,735796,890494
2003,76876128,734083,889966
2004,79087928,802248,911727
2005,83606583,862230,965858
2006,85907423,767897,980386
2007,84846639,746502,976447
2008,89379287,720209,994346
2009,90093280,655277,978824
2010,88001381,563139,970235
2011,92389023,659129,923996
2012,94956643,684576,952767
2013,94431224,616365,911074
2014,96178899,601270,868359
2015,101491106,626201,882497
2016,104258124,648595,898356
